鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物),臺北市信義區吳興街284巷28弄31~60號,27.6,住,,,1090505,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671207,97.18,3,2,2,有,無,19600000,201688,,0.0,0,含增建或未登記建物。;,RPSPMLRKOHPFFDA88CA
信義區,房地(土地+建物),臺北市信義區永吉路31~60號,7.76,商,,,1090429,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960524,102.28,3,1,2,有,有,19880000,194368,,0.0,0,,RPTOMLTKOHPFFDA09CA
南港區,房地(土地+建物),臺北市南港區東新街118巷61~90號,20.27,住,,,1090502,土地3建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010314,97.73,3,2,2,有,有,22650000,231761,,0.0,0,含增建或未登記建物。;,RPPPMLLKOHPFFDA97CA
南港區,房地(土地+建物)+車位,臺北市南港區成福路181~210號,9.25,住,,,1090427,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0950301,45.31999999999999,1,1,1,有,有,9600000,211874,塔式車位,9.19,0,,RPPNMLMKOHPFFDA87CA
信義區,房地(土地+建物),臺北市信義區崇德街61~90號,13.98,住,,,1090503,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770924,76.39,2,1,1,有,有,13760000,180128,,0.0,0,,RPOOMLMKOHPFFDA87CA
松山區,房地(土地+建物),臺北市松山區健康路325巷25弄1~30號,28.88,住,,,1090526,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0811008,115.9,3,1,1,有,有,26000000,224331,,0.0,0,,RPSOMLLKOHPFFDA18CA
信義區,房地(土地+建物),臺北市信義區嘉興街127巷1~30號,25.72,住,,,1090429,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630910,65.76,2,1,1,有,無,8000000,121655,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLLKOHPFFDA38CA
松山區,房地(土地+建物),臺北市松山區光復南路33巷1~30號,28.28,住,,,1090424,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0761223,144.63,3,2,2,有,有,25400000,175621,,0.0,0,含增建或未登記建物。;,RPUNMLKKOHPFFDA18CA
松山區,房地(土地+建物),臺北市松山區南京東路五段211~240號,4.3,其他,,,1090504,土地1建物1車位0,十四層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980331,53.67999999999999,1,1,1,有,有,13000000,242176,,0.0,0,含增建或未登記建物。;,RPWNMLKKOHPFFDA38CA
南港區,房地(土地+建物),臺北市南港區研究院路二段197巷1~30號,35.33,住,,,1090423,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,69.55,3,2,1,有,無,5800000,83393,,0.0,0,含增建或未登記建物。;,RPXNMLKKOHPFFDA48CA
大安區,房地(土地+建物),臺北市大安區仁愛路四段48巷1~30號,37.5,商,,,1090515,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0591006,105.26,4,2,2,有,無,28000000,266008,,0.0,0,含增建或未登記建物。,RPUNMLNKOHPFFFA78DA
北投區,房地(土地+建物),臺北市北投區永興路二段31~60號,18.66,住,,,1090525,土地1建物1車位0,十層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030218,102.75,1,1,1,有,有,15300000,148905,,0.0,0,含增建或未登記建物。;,RPQQMLLKOHPFFEA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路七段81巷31~60號,141.19,住,,,1090501,土地1建物1車位2,三層,五層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0970205,389.69,3,2,2,有,有,96100000,246606,坡道平面,88.48,0,含增建或未登記建物。;,RPROMLLKOHPFFEA18CA
北投區,房地(土地+建物),臺北市北投區實踐街56巷1~30號,52.25,住,,,1090425,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620430,120.01,3,2,2,有,無,15000000,124990,,0.0,0,含增建或未登記建物。;,RPSOMLLKOHPFFEA28CA
北投區,房地(土地+建物)+車位,臺北市北投區大同街211~240號,52.14,住,,,1090428,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940222,208.02999999999997,3,2,2,有,有,31000000,149017,坡道平面,36.17,0,含增建或未登記建物。;,RPVOMLLKOHPFFEA58CA
北投區,車位,臺北市北投區同德街1~30號,0.28,住,,,1090523,土地0建物0車位1,地下一層，地下二層,十五層,其他,停車空間,鋼筋混凝土造,0940923,37.650000000000006,0,0,0,有,有,2300000,,坡道平面,0.0,2300000,,RPWOMLLKOHPFFEA68CA
士林區,土地,永新段一小段541~570地號,22.0,其他,,,1090528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,27273,,0.0,0,包含公共設施保留地之交易。;,RPRNMLLKOHPFFEA08CA
